parcels,clusters
RSFA_Net7_LH_Vis_1,1
RSFA_Net7_LH_Vis_2,1
RSFA_Net7_LH_Vis_3,2
RSFA_Net7_LH_Vis_4,1
RSFA_Net7_LH_Vis_5,2
RSFA_Net7_LH_Vis_6,2
RSFA_Net7_LH_Vis_7,1
RSFA_Net7_LH_Vis_8,2
RSFA_Net7_LH_Vis_9,2
RSFA_Net7_LH_Vis_10,2
RSFA_Net7_LH_Vis_11,2
RSFA_Net7_LH_Vis_12,2
RSFA_Net7_LH_Vis_13,1
RSFA_Net7_LH_Vis_14,2
RSFA_Net7_LH_Vis_15,2
RSFA_Net7_LH_Vis_16,2
RSFA_Net7_LH_Vis_17,2
RSFA_Net7_LH_Vis_18,2
RSFA_Net7_LH_Vis_19,2
RSFA_Net7_LH_Vis_20,1
RSFA_Net7_LH_Vis_21,2
RSFA_Net7_LH_Vis_22,2
RSFA_Net7_LH_Vis_23,2
RSFA_Net7_LH_Vis_24,2
RSFA_Net7_LH_Vis_25,2
RSFA_Net7_LH_Vis_26,2
RSFA_Net7_LH_Vis_27,2
RSFA_Net7_LH_Vis_28,3
RSFA_Net7_LH_Vis_29,2
RSFA_Net7_LH_Vis_30,2
RSFA_Net7_LH_Vis_31,3
RSFA_Net7_LH_SomMot_1,1
RSFA_Net7_LH_SomMot_2,1
RSFA_Net7_LH_SomMot_3,1
RSFA_Net7_LH_SomMot_4,1
RSFA_Net7_LH_SomMot_5,1
RSFA_Net7_LH_SomMot_6,3
RSFA_Net7_LH_SomMot_7,1
RSFA_Net7_LH_SomMot_8,1
RSFA_Net7_LH_SomMot_9,4
RSFA_Net7_LH_SomMot_10,1
RSFA_Net7_LH_SomMot_11,4
RSFA_Net7_LH_SomMot_12,4
RSFA_Net7_LH_SomMot_13,4
RSFA_Net7_LH_SomMot_14,4
RSFA_Net7_LH_SomMot_15,4
RSFA_Net7_LH_SomMot_16,4
RSFA_Net7_LH_SomMot_17,4
RSFA_Net7_LH_SomMot_18,1
RSFA_Net7_LH_SomMot_19,4
RSFA_Net7_LH_SomMot_20,4
RSFA_Net7_LH_SomMot_21,4
RSFA_Net7_LH_SomMot_22,4
RSFA_Net7_LH_SomMot_23,1
RSFA_Net7_LH_SomMot_24,4
RSFA_Net7_LH_SomMot_25,1
RSFA_Net7_LH_SomMot_26,4
RSFA_Net7_LH_SomMot_27,3
RSFA_Net7_LH_SomMot_28,4
RSFA_Net7_LH_SomMot_29,4
RSFA_Net7_LH_SomMot_30,4
RSFA_Net7_LH_SomMot_31,4
RSFA_Net7_LH_SomMot_32,4
RSFA_Net7_LH_SomMot_33,4
RSFA_Net7_LH_SomMot_34,5
RSFA_Net7_LH_SomMot_35,4
RSFA_Net7_LH_SomMot_36,4
RSFA_Net7_LH_SomMot_37,4
RSFA_Net7_LH_DorsAttn_Post_1,6
RSFA_Net7_LH_DorsAttn_Post_2,2
RSFA_Net7_LH_DorsAttn_Post_3,3
RSFA_Net7_LH_DorsAttn_Post_4,3
RSFA_Net7_LH_DorsAttn_Post_5,3
RSFA_Net7_LH_DorsAttn_Post_6,3
RSFA_Net7_LH_DorsAttn_Post_7,3
RSFA_Net7_LH_DorsAttn_Post_8,4
RSFA_Net7_LH_DorsAttn_Post_9,3
RSFA_Net7_LH_DorsAttn_Post_10,3
RSFA_Net7_LH_DorsAttn_Post_11,4
RSFA_Net7_LH_DorsAttn_Post_12,3
RSFA_Net7_LH_DorsAttn_Post_13,3
RSFA_Net7_LH_DorsAttn_Post_14,3
RSFA_Net7_LH_DorsAttn_Post_15,3
RSFA_Net7_LH_DorsAttn_Post_16,3
RSFA_Net7_LH_DorsAttn_Post_17,3
RSFA_Net7_LH_DorsAttn_FEF_1,5
RSFA_Net7_LH_DorsAttn_FEF_2,5
RSFA_Net7_LH_DorsAttn_FEF_3,5
RSFA_Net7_LH_DorsAttn_FEF_4,5
RSFA_Net7_LH_DorsAttn_PrCv_1,5
RSFA_Net7_LH_DorsAttn_PrCv_2,5
RSFA_Net7_LH_SalVentAttn_ParOper_1,3
RSFA_Net7_LH_SalVentAttn_ParOper_2,3
RSFA_Net7_LH_SalVentAttn_ParOper_3,3
RSFA_Net7_LH_SalVentAttn_ParOper_4,3
RSFA_Net7_LH_SalVentAttn_TempOcc_1,3
RSFA_Net7_LH_SalVentAttn_FrOper_1,3
RSFA_Net7_LH_SalVentAttn_FrOper_2,1
RSFA_Net7_LH_SalVentAttn_FrOper_3,1
RSFA_Net7_LH_SalVentAttn_FrOper_4,1
RSFA_Net7_LH_SalVentAttn_FrOper_5,1
RSFA_Net7_LH_SalVentAttn_FrOper_6,1
RSFA_Net7_LH_SalVentAttn_FrOper_7,1
RSFA_Net7_LH_SalVentAttn_FrOper_8,1
RSFA_Net7_LH_SalVentAttn_FrOper_9,5
RSFA_Net7_LH_SalVentAttn_PFCl_1,5
RSFA_Net7_LH_SalVentAttn_Med_1,1
RSFA_Net7_LH_SalVentAttn_Med_2,1
RSFA_Net7_LH_SalVentAttn_Med_3,1
RSFA_Net7_LH_SalVentAttn_Med_4,1
RSFA_Net7_LH_SalVentAttn_Med_5,1
RSFA_Net7_LH_SalVentAttn_Med_6,3
RSFA_Net7_LH_SalVentAttn_Med_7,5
RSFA_Net7_LH_Limbic_OFC_1,7
RSFA_Net7_LH_Limbic_OFC_2,6
RSFA_Net7_LH_Limbic_OFC_3,7
RSFA_Net7_LH_Limbic_OFC_4,7
RSFA_Net7_LH_Limbic_OFC_5,7
RSFA_Net7_LH_Limbic_TempPole_1,7
RSFA_Net7_LH_Limbic_TempPole_2,7
RSFA_Net7_LH_Limbic_TempPole_3,7
RSFA_Net7_LH_Limbic_TempPole_4,7
RSFA_Net7_LH_Limbic_TempPole_5,7
RSFA_Net7_LH_Limbic_TempPole_6,3
RSFA_Net7_LH_Limbic_TempPole_7,6
RSFA_Net7_LH_Limbic_TempPole_8,6
RSFA_Net7_LH_Cont_Par_1,3
RSFA_Net7_LH_Cont_Par_2,3
RSFA_Net7_LH_Cont_Par_3,3
RSFA_Net7_LH_Cont_Par_4,3
RSFA_Net7_LH_Cont_Par_5,3
RSFA_Net7_LH_Cont_Par_6,3
RSFA_Net7_LH_Cont_Temp_1,6
RSFA_Net7_LH_Cont_PFCl_1,6
RSFA_Net7_LH_Cont_PFCl_2,5
RSFA_Net7_LH_Cont_PFCl_3,5
RSFA_Net7_LH_Cont_PFCl_4,5
RSFA_Net7_LH_Cont_PFCl_5,5
RSFA_Net7_LH_Cont_PFCl_6,5
RSFA_Net7_LH_Cont_PFCl_7,5
RSFA_Net7_LH_Cont_PFCl_8,5
RSFA_Net7_LH_Cont_PFCl_9,5
RSFA_Net7_LH_Cont_PFCv_1,1
RSFA_Net7_LH_Cont_pCun_1,3
RSFA_Net7_LH_Cont_pCun_2,3
RSFA_Net7_LH_Cont_Cing_1,1
RSFA_Net7_LH_Cont_Cing_2,1
RSFA_Net7_LH_Cont_PFCmp_1,5
RSFA_Net7_LH_Default_Temp_1,6
RSFA_Net7_LH_Default_Temp_2,7
RSFA_Net7_LH_Default_Temp_3,7
RSFA_Net7_LH_Default_Temp_4,3
RSFA_Net7_LH_Default_Temp_5,1
RSFA_Net7_LH_Default_Temp_6,3
RSFA_Net7_LH_Default_Temp_7,3
RSFA_Net7_LH_Default_Temp_8,3
RSFA_Net7_LH_Default_Temp_9,3
RSFA_Net7_LH_Default_Temp_10,3
RSFA_Net7_LH_Default_Temp_11,3
RSFA_Net7_LH_Default_Temp_12,3
RSFA_Net7_LH_Default_Temp_13,3
RSFA_Net7_LH_Default_Temp_14,3
RSFA_Net7_LH_Default_Temp_15,3
RSFA_Net7_LH_Default_Temp_16,3
RSFA_Net7_LH_Default_Temp_17,3
RSFA_Net7_LH_Default_PFC_1,1
RSFA_Net7_LH_Default_PFC_2,3
RSFA_Net7_LH_Default_PFC_3,6
RSFA_Net7_LH_Default_PFC_4,6
RSFA_Net7_LH_Default_PFC_5,5
RSFA_Net7_LH_Default_PFC_6,5
RSFA_Net7_LH_Default_PFC_7,5
RSFA_Net7_LH_Default_PFC_8,5
RSFA_Net7_LH_Default_PFC_9,1
RSFA_Net7_LH_Default_PFC_10,5
RSFA_Net7_LH_Default_PFC_11,5
RSFA_Net7_LH_Default_PFC_12,1
RSFA_Net7_LH_Default_PFC_13,5
RSFA_Net7_LH_Default_PFC_14,5
RSFA_Net7_LH_Default_PFC_15,5
RSFA_Net7_LH_Default_PFC_16,5
RSFA_Net7_LH_Default_PFC_17,5
RSFA_Net7_LH_Default_PFC_18,5
RSFA_Net7_LH_Default_PFC_19,5
RSFA_Net7_LH_Default_PFC_20,5
RSFA_Net7_LH_Default_PFC_21,5
RSFA_Net7_LH_Default_PFC_22,5
RSFA_Net7_LH_Default_PFC_23,5
RSFA_Net7_LH_Default_PFC_24,5
RSFA_Net7_LH_Default_PCC_1,1
RSFA_Net7_LH_Default_PCC_2,1
RSFA_Net7_LH_Default_PCC_3,1
RSFA_Net7_LH_Default_PCC_4,1
RSFA_Net7_LH_Default_PCC_5,3
RSFA_Net7_LH_Default_PCC_6,1
RSFA_Net7_LH_Default_PCC_7,1
RSFA_Net7_LH_Default_PCC_8,1
RSFA_Net7_LH_Default_PCC_9,1
RSFA_Net7_LH_Default_PCC_10,3
RSFA_Net7_LH_Default_PCC_11,1
RSFA_Net7_RH_Vis_1,1
RSFA_Net7_RH_Vis_2,1
RSFA_Net7_RH_Vis_3,2
RSFA_Net7_RH_Vis_4,2
RSFA_Net7_RH_Vis_5,1
RSFA_Net7_RH_Vis_6,2
RSFA_Net7_RH_Vis_7,1
RSFA_Net7_RH_Vis_8,2
RSFA_Net7_RH_Vis_9,2
RSFA_Net7_RH_Vis_10,2
RSFA_Net7_RH_Vis_11,2
RSFA_Net7_RH_Vis_12,2
RSFA_Net7_RH_Vis_13,2
RSFA_Net7_RH_Vis_14,1
RSFA_Net7_RH_Vis_15,2
RSFA_Net7_RH_Vis_16,2
RSFA_Net7_RH_Vis_17,1
RSFA_Net7_RH_Vis_18,2
RSFA_Net7_RH_Vis_19,2
RSFA_Net7_RH_Vis_20,2
RSFA_Net7_RH_Vis_21,2
RSFA_Net7_RH_Vis_22,2
RSFA_Net7_RH_Vis_23,2
RSFA_Net7_RH_Vis_24,2
RSFA_Net7_RH_Vis_25,2
RSFA_Net7_RH_Vis_26,2
RSFA_Net7_RH_Vis_27,2
RSFA_Net7_RH_Vis_28,2
RSFA_Net7_RH_Vis_29,2
RSFA_Net7_RH_Vis_30,2
RSFA_Net7_RH_SomMot_1,1
RSFA_Net7_RH_SomMot_2,3
RSFA_Net7_RH_SomMot_3,1
RSFA_Net7_RH_SomMot_4,1
RSFA_Net7_RH_SomMot_5,1
RSFA_Net7_RH_SomMot_6,1
RSFA_Net7_RH_SomMot_7,3
RSFA_Net7_RH_SomMot_8,3
RSFA_Net7_RH_SomMot_9,1
RSFA_Net7_RH_SomMot_10,1
RSFA_Net7_RH_SomMot_11,1
RSFA_Net7_RH_SomMot_12,4
RSFA_Net7_RH_SomMot_13,1
RSFA_Net7_RH_SomMot_14,4
RSFA_Net7_RH_SomMot_15,4
RSFA_Net7_RH_SomMot_16,4
RSFA_Net7_RH_SomMot_17,4
RSFA_Net7_RH_SomMot_18,4
RSFA_Net7_RH_SomMot_19,4
RSFA_Net7_RH_SomMot_20,1
RSFA_Net7_RH_SomMot_21,4
RSFA_Net7_RH_SomMot_22,4
RSFA_Net7_RH_SomMot_23,4
RSFA_Net7_RH_SomMot_24,1
RSFA_Net7_RH_SomMot_25,4
RSFA_Net7_RH_SomMot_26,4
RSFA_Net7_RH_SomMot_27,4
RSFA_Net7_RH_SomMot_28,3
RSFA_Net7_RH_SomMot_29,4
RSFA_Net7_RH_SomMot_30,4
RSFA_Net7_RH_SomMot_31,4
RSFA_Net7_RH_SomMot_32,4
RSFA_Net7_RH_SomMot_33,4
RSFA_Net7_RH_SomMot_34,4
RSFA_Net7_RH_SomMot_35,4
RSFA_Net7_RH_SomMot_36,5
RSFA_Net7_RH_SomMot_37,3
RSFA_Net7_RH_SomMot_38,4
RSFA_Net7_RH_SomMot_39,4
RSFA_Net7_RH_SomMot_40,4
RSFA_Net7_RH_DorsAttn_Post_1,2
RSFA_Net7_RH_DorsAttn_Post_2,3
RSFA_Net7_RH_DorsAttn_Post_3,3
RSFA_Net7_RH_DorsAttn_Post_4,3
RSFA_Net7_RH_DorsAttn_Post_5,3
RSFA_Net7_RH_DorsAttn_Post_6,3
RSFA_Net7_RH_DorsAttn_Post_7,3
RSFA_Net7_RH_DorsAttn_Post_8,3
RSFA_Net7_RH_DorsAttn_Post_9,4
RSFA_Net7_RH_DorsAttn_Post_10,3
RSFA_Net7_RH_DorsAttn_Post_11,3
RSFA_Net7_RH_DorsAttn_Post_12,3
RSFA_Net7_RH_DorsAttn_Post_13,4
RSFA_Net7_RH_DorsAttn_Post_14,3
RSFA_Net7_RH_DorsAttn_Post_15,3
RSFA_Net7_RH_DorsAttn_Post_16,3
RSFA_Net7_RH_DorsAttn_Post_17,3
RSFA_Net7_RH_DorsAttn_Post_18,3
RSFA_Net7_RH_DorsAttn_Post_19,3
RSFA_Net7_RH_DorsAttn_FEF_1,5
RSFA_Net7_RH_DorsAttn_FEF_2,5
RSFA_Net7_RH_DorsAttn_FEF_3,5
RSFA_Net7_RH_DorsAttn_PrCv_1,5
RSFA_Net7_RH_SalVentAttn_TempOccPar_1,3
RSFA_Net7_RH_SalVentAttn_TempOccPar_2,3
RSFA_Net7_RH_SalVentAttn_TempOccPar_3,3
RSFA_Net7_RH_SalVentAttn_TempOccPar_4,3
RSFA_Net7_RH_SalVentAttn_TempOccPar_5,3
RSFA_Net7_RH_SalVentAttn_TempOccPar_6,3
RSFA_Net7_RH_SalVentAttn_TempOccPar_7,3
RSFA_Net7_RH_SalVentAttn_PrC_1,5
RSFA_Net7_RH_SalVentAttn_FrOper_1,3
RSFA_Net7_RH_SalVentAttn_FrOper_2,1
RSFA_Net7_RH_SalVentAttn_FrOper_3,1
RSFA_Net7_RH_SalVentAttn_FrOper_4,1
RSFA_Net7_RH_SalVentAttn_FrOper_5,1
RSFA_Net7_RH_SalVentAttn_FrOper_6,1
RSFA_Net7_RH_SalVentAttn_FrOper_7,1
RSFA_Net7_RH_SalVentAttn_FrOper_8,5
RSFA_Net7_RH_SalVentAttn_PFCl_1,5
RSFA_Net7_RH_SalVentAttn_Med_1,1
RSFA_Net7_RH_SalVentAttn_Med_2,1
RSFA_Net7_RH_SalVentAttn_Med_3,1
RSFA_Net7_RH_SalVentAttn_Med_4,5
RSFA_Net7_RH_SalVentAttn_Med_5,1
RSFA_Net7_RH_SalVentAttn_Med_6,1
RSFA_Net7_RH_SalVentAttn_Med_7,5
RSFA_Net7_RH_SalVentAttn_Med_8,5
RSFA_Net7_RH_Limbic_OFC_1,7
RSFA_Net7_RH_Limbic_OFC_2,6
RSFA_Net7_RH_Limbic_OFC_3,7
RSFA_Net7_RH_Limbic_OFC_4,6
RSFA_Net7_RH_Limbic_OFC_5,7
RSFA_Net7_RH_Limbic_OFC_6,7
RSFA_Net7_RH_Limbic_TempPole_1,7
RSFA_Net7_RH_Limbic_TempPole_2,7
RSFA_Net7_RH_Limbic_TempPole_3,6
RSFA_Net7_RH_Limbic_TempPole_4,7
RSFA_Net7_RH_Limbic_TempPole_5,6
RSFA_Net7_RH_Limbic_TempPole_6,7
RSFA_Net7_RH_Limbic_TempPole_7,6
RSFA_Net7_RH_Cont_Par_1,3
RSFA_Net7_RH_Cont_Par_2,3
RSFA_Net7_RH_Cont_Par_3,3
RSFA_Net7_RH_Cont_Par_4,3
RSFA_Net7_RH_Cont_Par_5,3
RSFA_Net7_RH_Cont_Par_6,3
RSFA_Net7_RH_Cont_Temp_1,7
RSFA_Net7_RH_Cont_Temp_2,6
RSFA_Net7_RH_Cont_PFCv_1,1
RSFA_Net7_RH_Cont_PFCl_1,6
RSFA_Net7_RH_Cont_PFCl_2,5
RSFA_Net7_RH_Cont_PFCl_3,5
RSFA_Net7_RH_Cont_PFCl_4,5
RSFA_Net7_RH_Cont_PFCl_5,5
RSFA_Net7_RH_Cont_PFCl_6,5
RSFA_Net7_RH_Cont_PFCl_7,5
RSFA_Net7_RH_Cont_PFCl_8,5
RSFA_Net7_RH_Cont_PFCl_9,5
RSFA_Net7_RH_Cont_PFCl_10,5
RSFA_Net7_RH_Cont_PFCl_11,5
RSFA_Net7_RH_Cont_PFCl_12,5
RSFA_Net7_RH_Cont_PFCl_13,5
RSFA_Net7_RH_Cont_PFCl_14,5
RSFA_Net7_RH_Cont_PFCl_15,5
RSFA_Net7_RH_Cont_pCun_1,3
RSFA_Net7_RH_Cont_pCun_2,3
RSFA_Net7_RH_Cont_Cing_1,1
RSFA_Net7_RH_Cont_Cing_2,1
RSFA_Net7_RH_Cont_PFCmp_1,1
RSFA_Net7_RH_Cont_PFCmp_2,5
RSFA_Net7_RH_Default_Par_1,3
RSFA_Net7_RH_Default_Par_2,3
RSFA_Net7_RH_Default_Par_3,3
RSFA_Net7_RH_Default_Par_4,3
RSFA_Net7_RH_Default_Par_5,3
RSFA_Net7_RH_Default_Temp_1,3
RSFA_Net7_RH_Default_Temp_2,6
RSFA_Net7_RH_Default_Temp_3,3
RSFA_Net7_RH_Default_Temp_4,3
RSFA_Net7_RH_Default_Temp_5,3
RSFA_Net7_RH_Default_Temp_6,3
RSFA_Net7_RH_Default_Temp_7,3
RSFA_Net7_RH_Default_Temp_8,3
RSFA_Net7_RH_Default_PFCv_1,1
RSFA_Net7_RH_Default_PFCv_2,3
RSFA_Net7_RH_Default_PFCv_3,5
RSFA_Net7_RH_Default_PFCv_4,5
RSFA_Net7_RH_Default_PFCm_1,6
RSFA_Net7_RH_Default_PFCm_2,5
RSFA_Net7_RH_Default_PFCm_3,1
RSFA_Net7_RH_Default_PFCm_4,5
RSFA_Net7_RH_Default_PFCm_5,5
RSFA_Net7_RH_Default_PFCm_6,1
RSFA_Net7_RH_Default_PFCm_7,5
RSFA_Net7_RH_Default_PFCm_8,5
RSFA_Net7_RH_Default_PFCm_9,5
RSFA_Net7_RH_Default_PFCm_10,5
RSFA_Net7_RH_Default_PFCm_11,5
RSFA_Net7_RH_Default_PFCm_12,5
RSFA_Net7_RH_Default_PFCm_13,5
RSFA_Net7_RH_Default_PCC_1,1
RSFA_Net7_RH_Default_PCC_2,1
RSFA_Net7_RH_Default_PCC_3,3
RSFA_Net7_RH_Default_PCC_4,1
RSFA_Net7_RH_Default_PCC_5,3
RSFA_Net7_RH_Default_PCC_6,1
RSFA_Net7_RH_Default_PCC_7,1
RSFA_Net7_RH_Default_PCC_8,1
RSFA_Net7_RH_Default_PCC_9,1
